Treatment;Strain;Repetition;Concentration ppm;Replicate;Day;Colony diameter ;CD
Merpan;S20;2;0;2;7;58,2;53,2
Merpan;S20;2;0;3;7;56,7;51,7
Merpan;S8;2;0;1;7;54,8;49,8
Merpan;S8;2;0;2;7;57;52
Merpan;S8;2;0;3;7;57;52
Merpan;S23;2;1000;1;7;19;14
Merpan;S23;2;1000;2;7;18;13
Merpan;S23;2;1000;3;7;20;15
Merpan;S20;2;1000;1;7;16;11
Merpan;S20;2;1000;2;7;17,2;12,2
Merpan;S20;2;1000;3;7;16,7;11,7
Merpan;S8;2;1000;1;7;11,8;6,8
Merpan;S8;2;1000;2;7;11,9;6,9
Merpan;S8;2;1000;3;7;12;7
Merpan;S23;2;500;1;7;25,4;20,4
Merpan;S23;2;500;2;7;24;19
Merpan;S23;2;500;3;7;25;20
Merpan;S20;2;500;1;7;21,8;16,8
Merpan;S20;2;500;2;7;22,9;17,9
Merpan;S20;2;500;3;7;23;18
Merpan;S8;2;500;1;7;16,9;11,9
Merpan;S8;2;500;2;7;17,2;12,2
Merpan;S8;2;500;3;7;16,7;11,7
Merpan;S23;2;100;1;7;30,8;25,8
Merpan;S23;2;100;2;7;29,9;24,9
Merpan;S23;2;100;3;7;31;26
Merpan;S20;2;100;1;7;28,9;23,9
Merpan;S20;2;100;2;7;27,2;22,2
Merpan;S20;2;100;3;7;28,7;23,7
Merpan;S8;2;100;1;7;20,8;15,8
Merpan;S8;2;100;2;7;21,9;16,9
Merpan;S8;2;100;3;7;21;16
Merpan;S23;2;10;1;7;36,9;31,9
Merpan;S23;2;10;2;7;38;33
Merpan;S23;2;10;3;7;38,7;33,7
Merpan;S20;2;10;1;7;30,8;25,8
Merpan;S20;2;10;2;7;31,9;26,9
Merpan;S20;2;10;3;7;32;27
Merpan;S8;2;10;1;7;35,9;30,9
Merpan;S8;2;10;2;7;35,2;30,2
Merpan;S8;2;10;3;7;34,7;29,7
Merpan;S23;2;1;1;7;44,8;39,8
Merpan;S23;2;1;2;7;43,9;38,9
Merpan;S23;2;1;3;7;43,5;38,5
Merpan;S20;2;1;1;7;43,9;38,9
Merpan;S20;2;1;2;7;43,2;38,2
Merpan;S20;2;1;3;7;44,7;39,7
Merpan;S8;2;1;1;7;44,8;39,8
Merpan;S8;2;1;2;7;44,9;39,9
Merpan;S8;2;1;3;7;44;39
Merpan;S23;2;0,1;1;7;57,9;52,9
Merpan;S23;2;0,1;2;7;59,2;54,2
Merpan;S23;2;0,1;3;7;57,7;52,7
Merpan;S20;2;0,1;1;7;54,8;49,8
Merpan;S20;2;0,1;2;7;55,9;50,9
Merpan;S20;2;0,1;3;7;53;48
Merpan;S8;2;0,1;1;7;47,9;42,9
Merpan;S8;2;0,1;2;7;49,2;44,2
Merpan;S8;2;0,1;3;7;49,7;44,7
Merpan;S23;3;0;1;7;56;51
Merpan;S20;3;0;1;7;55;50
Merpan;S8;3;0;1;7;48;43
Merpan;S23;3;0,1;1;7;58;53
Merpan;S20;3;0,1;1;7;57;52
Merpan;S8;3;0,1;1;7;57;52
Merpan;S23;3;1;1;7;45;40
Merpan;S20;3;1;1;7;44;39
Merpan;S8;3;1;1;7;45;40
Merpan;S23;3;10;1;7;35;30
Merpan;S20;3;10;1;7;31;26
Merpan;S8;3;10;1;7;36;31
Merpan;S23;3;100;1;7;30;25
Merpan;S20;3;100;1;7;29;24
Merpan;S8;3;100;1;7;22;17
Merpan;S23;3;500;1;7;24;19
Merpan;S20;3;500;1;7;22;17
Merpan;S8;3;500;1;7;17;12
Merpan;S23;3;1000;1;7;18;13
Merpan;S20;3;1000;1;7;15;10
Merpan;S8;3;1000;1;7;13;8
Merpan;S23;3;0;2;7;57;52
Merpan;S20;3;0;2;7;54;49
Merpan;S8;3;0;2;7;49;44
Merpan;S23;3;0,1;2;7;59;54
Merpan;S20;3;0,1;2;7;58;53
Merpan;S8;3;0,1;2;7;55;50
Merpan;S23;3;1;2;7;44;39
Merpan;S20;3;1;2;7;43;38
Merpan;S8;3;1;2;7;45;40
Merpan;S23;3;10;2;7;34;29
Merpan;S20;3;10;2;7;32;27
Merpan;S8;3;10;2;7;35;30
Merpan;S23;3;100;2;7;28;23
Merpan;S20;3;100;2;7;27;22
Merpan;S8;3;100;2;7;22;17
Merpan;S23;3;500;2;7;25;20
Merpan;S20;3;500;2;7;23;18
Merpan;S8;3;500;2;7;17;12
Merpan;S23;3;1000;2;7;19;14
Merpan;S20;3;1000;2;7;17;12
Merpan;S8;3;1000;2;7;12;7
Merpan;S23;3;0;3;7;61;56
Merpan;S20;3;0;3;7;53;48
Merpan;S8;3;0;3;7;50;45
Merpan;S23;3;0,1;3;7;58;53
Merpan;S20;3;0,1;3;7;57;52
Merpan;S8;3;0,1;3;7;55;50
Merpan;S23;3;1;3;7;43,5;38,5
Merpan;S20;3;1;3;7;45;40
Merpan;S8;3;1;3;7;44;39
Merpan;S23;3;10;3;7;34;29
Merpan;S20;3;10;3;7;32;27
Merpan;S8;3;10;3;7;35;30
Merpan;S23;3;100;3;7;30;25
Merpan;S20;3;100;3;7;29;24
Merpan;S8;3;100;3;7;23;18
Merpan;S23;3;500;3;7;23;18
Merpan;S20;3;500;3;7;22;17
Merpan;S8;3;500;3;7;17;12
Merpan;S23;3;1000;3;7;18;13
Merpan;S20;3;1000;3;7;17;12
Merpan;S8;3;1000;3;7;12;7
